Country Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
HPC,,,,,,16.98762193,17.26352377,16.59704041,16.59059635,15.29564837,17.56544183,18.49475542,16.5736994,17.12323714,20.00857392,18.7439208,19.29213776,20.10502605,19.49022214,20.26502659,19.92159385,20.33459169,18.94643525,
HRV,17.80846013,18.26399725,17.47342058,18.11134831,19.94688584,18.79716545,20.30207046,20.32309454,18.80560625,17.40622598,17.86932957,16.9779814,15.59780089,17.29641449,18.17603074,22.7573374,22.167499,24.31763963,24.21240033,24.88002231,22.90471494,23.55954422,23.94220287,24.012794
HTI,6.903436454,6.21281643,9.049277649,15.81820795,10.58342909,9.91501336,13.23946281,8.294248046,10.65380181,11.55345881,24.1299714,18.4843892,14.23173381,13.74059247,11.60721841,12.36061045,12.49416042,15.78625069,12.03137712,15.72158342,17.72185796,13.40219887,11.60207319,
HUN,19.2514346,19.77359556,18.54371144,15.78571687,16.69646549,16.57384953,18.08116841,16.76468574,17.69816301,19.77903795,20.75141542,20.93587831,21.06489538,24.48334805,24.54018258,25.33182251,25.73786252,24.71268091,26.73849359,27.44611005,26.24932352,26.56550672,25.63632224,26.31109269
IBD,28.79220745,28.94382136,29.77626154,31.38900044,33.53129696,34.30096807,36.07223093,36.95819498,37.44941059,35.05538548,36.38198013,35.72033704,34.95112006,33.85646107,33.58103554,32.64945091,31.93222647,32.45677205,32.59521151,31.83722074,31.60520347,33.40721949,33.66627315,
IBT,28.39667999,28.56538197,29.40676633,30.97990559,33.06582149,33.67161851,35.40227284,36.23092313,36.69542085,34.33970076,35.66045456,35.01572907,34.23073812,33.18607092,32.97599915,32.03554336,31.38210035,31.94997262,32.08436884,31.37712072,31.16001059,32.88680556,33.11368961,
IDA,,,,,,,,,,,,,,,,20.83574082,21.35192977,,,,22.90315499,,,
IDB,,,,,,,,,,,,,,,,,,,,,,,,
IDN,26.28689921,27.19979393,23.01740778,20.68405036,20.76428995,24.33848663,25.77714359,25.17912344,28.45241261,29.0563768,32.72742299,33.22007305,31.98536977,31.12176664,30.66890946,30.12335649,29.92276832,30.87836343,31.6805228,30.90271351,29.22460873,32.93729558,36.96284763,35.9478957
IDX,,,,,,21.537983,21.91524217,21.45923037,21.076105,21.29678602,21.99245004,21.91983392,21.15600247,21.36705462,23.32734936,23.2786729,24.1025134,25.46574568,25.1960303,25.5950176,25.17597122,25.1220784,24.67194411,
IMN,,,,,,,,,,,,,,,,,,,,,,,,
IND,26.11902373,26.2598845,28.11147834,30.47095826,33.33255466,34.41801529,36.36053211,37.011389,36.25408263,35.61743481,36.30587504,35.13179309,35.26129232,34.30465749,33.46602575,32.45392411,31.72641474,31.70675317,31.41049223,29.70220058,28.67968211,29.86613306,29.88998355,30.56294369
INX,,,,,,,,,,,,,,,,,,,,,,,,
IRL,,,,,,27.04717044,27.39250106,23.95091035,18.84738357,15.44661274,17.14399287,15.62461196,15.80227365,20.71131593,24.05921784,30.3377393,33.43697893,34.38612071,33.760919,35.18155274,36.73619525,37.11196265,34.98631836,36.99784434
IRN,37.93825046,,,,,,,,,,,,,,,,,,,,,,,
IRQ,,,,,,49.97373459,47.8235082,43.96766893,52.50808248,27.67264122,35.97825386,42.7477895,41.71142811,41.38548407,37.97563673,25.07153867,24.44446135,32.10213057,40.28107023,37.35014758,24.03147241,40.51407193,,
ISL,14.73194952,18.65233382,21.03417472,16.40363436,14.79668789,13.16287719,13.36134041,16.00130019,5.24089701,6.409417862,7.811914025,10.85680994,12.43665604,21.72209381,21.62749218,25.02457142,29.17936957,25.96014732,26.37250646,27.21706137,22.37745562,20.24157449,22.59523975,25.34654625
ISR,24.21322075,23.92939418,23.10576119,23.42943089,24.37843852,26.64207109,27.93824464,27.1666315,24.26388298,24.43752069,24.84675295,25.10451032,24.20837008,25.05859923,26.8633942,27.1869127,26.78222553,26.62599634,26.80353185,26.94039487,28.89908682,29.26976989,30.88333184,31.21945129
ITA,20.58978162,20.99683151,21.06669256,20.39928104,20.77603129,20.27948351,20.48806723,20.87527346,18.99223729,17.6282489,17.27255327,17.64425639,17.55087771,18.03182182,18.86054852,18.53172897,20.19833285,20.68469514,21.12883754,21.49228708,21.58867979,24.12777851,21.4573202,21.27504741
JAM,16.75970285,17.36108318,15.97010293,17.87396705,20.72595897,15.02524865,17.43626871,15.55247303,6.195810545,12.9525633,13.41918753,8.583871554,11.00568301,11.94109448,14.17906622,18.23148229,21.2066749,21.56071613,22.26049796,22.70625832,,,,
