Country Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
DOM,1.526878889,1.490443156,1.44368039,1.40844926,1.372566715,1.336154561,1.294401662,1.26337587,1.276012214,1.305249779,1.314837822,1.300681992,1.275637364,1.249960981,1.223783405,1.196044004,1.163320183,1.130145929,1.10483768,1.074974829,1.076552247,1.068926667,0.992978305,0.923257649
DZA,1.402290858,1.375930803,1.348866952,1.354238911,1.407273215,1.364081963,1.441137296,1.627908677,1.708971675,1.795903932,1.858701991,1.898394281,1.943102134,1.966715818,1.97904881,1.999946051,1.993431689,1.957002471,1.903325428,1.839444886,1.732456728,1.657703201,1.628339254,1.554019324
EAP,1.000144196,0.940855472,0.892600634,0.852110286,0.820946403,0.809271375,0.787319462,0.762934995,0.750767525,0.735501588,0.723525605,0.765864829,0.856579157,0.83969913,0.802577871,0.761606991,0.752053119,0.762475193,0.65382759,0.566578152,0.474118364,0.342554176,0.258224108,0.214089648
EAR,1.885652381,1.86603829,1.78177192,1.718400973,1.701078716,1.658094629,1.629621546,1.602126893,1.556484482,1.530764099,1.549485622,1.531347599,1.462729625,1.424886538,1.404914523,1.395370924,1.363403831,1.321020144,1.296433693,1.265303681,1.194213212,1.093083957,1.059145017,1.128148814
EAS,0.944096982,0.897460572,0.843921782,0.798496362,0.763640198,0.749594885,0.745037781,0.733077002,0.728174131,0.699825737,0.684869462,0.714338483,0.798953107,0.779835747,0.749921648,0.71435793,0.70668095,0.710215377,0.612372615,0.532726654,0.428125777,0.265661736,0.210707099,0.227035089
ECA,0.350532523,0.4121333,0.422254949,0.446028962,0.49375082,0.512541562,0.540598538,0.436220353,0.7201018,0.811593853,0.953373239,0.946254524,0.792096324,0.84822934,0.855903427,0.899686984,0.891126375,0.842247776,0.842044306,0.874610326,0.694686192,0.703031511,-1.494948768,0.226232973
ECS,0.108393377,0.13196494,0.181750386,0.255852506,0.293690487,0.300942886,0.306834084,0.318877173,0.409406801,0.400753122,0.392263514,0.247008078,0.385074667,0.453645011,0.464386588,0.460308868,0.449667881,0.39233638,0.375295687,0.3300859,0.235807076,0.084914881,-0.344136713,0.319373852
ECU,1.71308817,1.719685589,1.737093154,1.748693201,1.73957986,1.724433177,1.721115035,1.718133581,1.704205812,1.682479333,1.660310481,1.641883117,1.602521872,1.532423238,1.483598602,1.479835238,1.493389873,1.553356266,1.890909307,1.909683263,1.401904626,1.182063375,1.135599752,1.047128829
EGY,2.071834706,2.056419843,2.091103293,2.087856462,2.031665661,1.983341437,1.946600641,1.951674313,1.958382903,1.956155222,2.027639655,2.207642811,2.261587344,2.315707504,2.34379305,2.205259807,2.086302846,1.989768495,1.898930768,1.794002125,1.733129572,1.658383679,1.56907383,1.543565098
EMU,0.310412665,0.328154457,0.483898056,0.537238791,0.54467388,0.512704571,0.462005212,0.513136795,0.483399087,0.31979684,0.230876276,-0.218545966,0.214210419,0.333032954,0.333977385,0.289724143,0.280903594,0.19925973,0.226536067,0.105440657,0.127883693,-0.005236033,0.400236396,0.581585558
